2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: PronunciationModel
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: AcousticModeller
2020-03-07 18:13:31,104 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Global variance optimization
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=6
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: Synthesis
2020-03-07 18:13:31,104 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2020-03-07 18:13:31,104 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2020-03-07 18:13:31,104 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=6  Total number of states numState=30
2020-03-07 18:13:31,104 [main] INFO  marytts.HTSEngine Total number of frames=221  Number of voiced frames=115
2020-03-07 18:13:31,104 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Global variance optimization
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=26
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=55
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=35
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=28
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=17
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=2
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=18
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=31
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=16
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=3
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=36
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=15
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=27
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=3
